# tracer: nop
#
# entries-in-buffer/entries-written: 3486/3486   #P:12
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
   kworker/u48:5-549     [003] .....   387.465623: amdgpu_device_wreg: 0x15bf, 0x00003adc, 0x00000040
   kworker/u48:5-549     [003] .....   387.465624: amdgpu_device_wreg: 0x15bf, 0x00003ab4, 0x00f11110
   kworker/u48:5-549     [003] .....   387.465626: amdgpu_device_wreg: 0x15bf, 0x00004185, 0x70000000
   kworker/u48:5-549     [003] .....   387.465626: amdgpu_device_wreg: 0x15bf, 0x00003555, 0x00000001
   kworker/u48:5-549     [003] .....   387.465627: amdgpu_device_wreg: 0x15bf, 0x000041b1, 0x000000a4
   kworker/u48:5-549     [003] .....   387.465629: amdgpu_device_wreg: 0x15bf, 0x00003555, 0x00000000
   kworker/u48:5-549     [003] .....   387.465637: amdgpu_device_wreg: 0x15bf, 0x0000397b, 0x00000000
   kworker/u48:5-549     [003] .....   387.465639: amdgpu_device_wreg: 0x15bf, 0x00004f8c, 0x00000000
   kworker/u48:5-549     [003] .....   387.465639: amdgpu_device_wreg: 0x15bf, 0x00004f8d, 0x00000000
   kworker/u48:5-549     [003] .....   387.465640: amdgpu_device_wreg: 0x15bf, 0x00004f8e, 0x00000000
   kworker/u48:5-549     [003] .....   387.465641: amdgpu_device_wreg: 0x15bf, 0x00004ff8, 0x00000001
   kworker/u48:5-549     [003] .....   387.465642: amdgpu_device_wreg: 0x15bf, 0x00005001, 0x00010200
   kworker/u48:5-549     [003] .....   387.465643: amdgpu_device_wreg: 0x15bf, 0x000039ed, 0x05f00001
   kworker/u48:5-549     [003] .....   387.472569: amdgpu_device_wreg: 0x15bf, 0x00005045, 0x00000100
   kworker/u48:5-549     [003] .....   387.472571: amdgpu_device_wreg: 0x15bf, 0x00004f8f, 0x00000004
   kworker/u48:5-549     [003] .....   387.472571: amdgpu_device_wreg: 0x15bf, 0x00004f8b, 0xfff00000
   kworker/u48:5-549     [003] .....   387.472573: amdgpu_device_wreg: 0x15bf, 0x00004fee, 0x00030000
   kworker/u48:5-549     [003] .....   387.472573: amdgpu_device_wreg: 0x15bf, 0x00004f90, 0x00000000
   kworker/u48:5-549     [003] .....   387.472575: amdgpu_device_wreg: 0x15bf, 0x00004ff3, 0x00000000
   kworker/u48:5-549     [003] .....   387.472576: amdgpu_device_wreg: 0x15bf, 0x00004ff1, 0x00000000
   kworker/u48:5-549     [003] .....   387.472576: amdgpu_device_wreg: 0x15bf, 0x00004ff0, 0x00000000
   kworker/u48:5-549     [003] .....   387.472579: amdgpu_device_wreg: 0x15bf, 0x0000565e, 0x00000005
   kworker/u48:5-549     [003] .....   387.472582: amdgpu_device_wreg: 0x15bf, 0x00005647, 0x00000010
   kworker/u48:5-549     [003] .....   387.472584: amdgpu_device_wreg: 0x15bf, 0x00005642, 0x04000800
   kworker/u48:5-549     [003] .....   387.472585: amdgpu_device_wreg: 0x15bf, 0x00005647, 0x00000110
   kworker/u48:5-549     [003] .....   387.472587: amdgpu_device_wreg: 0x15bf, 0x00005670, 0x00000100
   kworker/u48:5-549     [003] .....   387.472588: amdgpu_device_wreg: 0x15bf, 0x0001629b, 0x00000000
   kworker/u48:5-549     [003] .....   387.472589: amdgpu_device_wreg: 0x15bf, 0x00016293, 0x00000000
   kworker/u48:5-549     [003] .....   387.472589: amdgpu_device_wreg: 0x15bf, 0x00016283, 0x0000000d
   kworker/u48:5-549     [003] .....   387.472809: amdgpu_device_wreg: 0x15bf, 0x00016083, 0x000001c0
   kworker/u48:5-549     [003] .....   387.473747: amdgpu_device_wreg: 0x15bf, 0x00005d94, 0xcf401010
   kworker/u48:5-549     [003] .....   387.473751: amdgpu_device_wreg: 0x15bf, 0x00005d94, 0xcf401010
   kworker/u48:5-549     [003] .....   387.473753: amdgpu_device_wreg: 0x15bf, 0x00005ddd, 0x0001f000
   kworker/u48:5-549     [003] .....   387.473755: amdgpu_device_wreg: 0x15bf, 0x00005dbf, 0x00155400
   kworker/u48:5-549     [003] .....   387.473756: amdgpu_device_wreg: 0x15bf, 0x00005358, 0x00100108
   kworker/u48:5-549     [003] .....   387.473757: amdgpu_device_wreg: 0x15bf, 0x0000539e, 0x00000000
   kworker/u48:5-549     [003] .....   387.473760: amdgpu_device_wreg: 0x15bf, 0x00005359, 0x00100000
   kworker/u48:5-549     [003] .....   387.473763: amdgpu_device_wreg: 0x15bf, 0x00005364, 0x00780202
   kworker/u48:5-549     [003] .....   387.473764: amdgpu_device_wreg: 0x15bf, 0x00005358, 0x00000108
   kworker/u48:5-549     [003] .....   387.473766: amdgpu_device_wreg: 0x15bf, 0x00005365, 0x03000040
   kworker/u48:5-549     [003] .....   387.473767: amdgpu_device_wreg: 0x15bf, 0x00005359, 0x00000004
   kworker/u48:5-549     [003] .....   387.473769: amdgpu_device_wreg: 0x15bf, 0x00005364, 0x00780202
   kworker/u48:5-549     [003] .....   387.473771: amdgpu_device_wreg: 0x15bf, 0x0000536e, 0x00011100
   kworker/u48:5-549     [003] .....   387.473772: amdgpu_device_wreg: 0x15bf, 0x00005372, 0x8000a800
   kworker/u48:5-549     [003] .....   387.473772: amdgpu_device_wreg: 0x15bf, 0x00005372, 0x00000100
   kworker/u48:5-549     [003] .....   387.473775: amdgpu_device_wreg: 0x15bf, 0x0000536f, 0x00013101
   kworker/u48:5-549     [003] .....   387.473776: amdgpu_device_wreg: 0x15bf, 0x00005372, 0x0000a900
   kworker/u48:5-549     [003] .....   387.473778: amdgpu_device_wreg: 0x15bf, 0x00005358, 0x00000108
   kworker/u48:5-549     [003] .....   387.473779: amdgpu_device_wreg: 0x15bf, 0x00005365, 0x03000040
   kworker/u48:5-549     [003] .....   387.473781: amdgpu_device_wreg: 0x15bf, 0x00005358, 0x00100100
   kworker/u48:5-549     [003] .....   387.473782: amdgpu_device_wreg: 0x15bf, 0x00005358, 0x00100101
   kworker/u48:5-549     [003] .....   387.474223: amdgpu_device_wreg: 0x15bf, 0x00005372, 0x80030001
   kworker/u48:5-549     [003] .....   387.474226: amdgpu_device_wreg: 0x15bf, 0x00005358, 0x00100108
   kworker/u48:5-549     [003] .....   387.474228: amdgpu_device_wreg: 0x15bf, 0x00005364, 0x00780202
   kworker/u48:5-549     [003] .....   387.474230: amdgpu_device_wreg: 0x15bf, 0x00005359, 0x00200004
   kworker/u48:5-549     [003] .....   387.474232: amdgpu_device_wreg: 0x15bf, 0x0000539e, 0x00000001
   kworker/u48:5-549     [003] .....   387.474234: amdgpu_device_wreg: 0x15bf, 0x00005d94, 0xcf401010
   kworker/u48:5-549     [003] .....   387.474235: amdgpu_device_wreg: 0x15bf, 0x00005d95, 0x00000000
   kworker/u48:5-549     [003] .....   387.474237: amdgpu_device_wreg: 0x15bf, 0x00005d96, 0x00000000
   kworker/u48:5-549     [003] .....   387.474238: amdgpu_device_wreg: 0x15bf, 0x00005d94, 0xcf401010
   kworker/u48:5-549     [003] .....   387.474240: amdgpu_device_wreg: 0x15bf, 0x00005d95, 0x00000000
   kworker/u48:5-549     [003] .....   387.474241: amdgpu_device_wreg: 0x15bf, 0x00005d96, 0x00000000
   kworker/u48:5-549     [003] .....   387.474249: amdgpu_device_wreg: 0x15bf, 0x00005d94, 0xcf401010
   kworker/u48:5-549     [003] .....   387.474253: amdgpu_device_wreg: 0x15bf, 0x00005d94, 0xcf401010
   kworker/u48:5-549     [003] .....   387.474255: amdgpu_device_wreg: 0x15bf, 0x00005ddd, 0x0001f000
   kworker/u48:5-549     [003] .....   387.474257: amdgpu_device_wreg: 0x15bf, 0x00005dbf, 0x00155400
   kworker/u48:5-549     [003] .....   387.474258: amdgpu_device_wreg: 0x15bf, 0x00005358, 0x00100108
   kworker/u48:5-549     [003] .....   387.474260: amdgpu_device_wreg: 0x15bf, 0x0000539e, 0x00000000
   kworker/u48:5-549     [003] .....   387.474263: amdgpu_device_wreg: 0x15bf, 0x00005359, 0x00100000
   kworker/u48:5-549     [003] .....   387.474266: amdgpu_device_wreg: 0x15bf, 0x00005364, 0x00780202
   kworker/u48:5-549     [003] .....   387.474268: amdgpu_device_wreg: 0x15bf, 0x00005358, 0x00000108
   kworker/u48:5-549     [003] .....   387.474269: amdgpu_device_wreg: 0x15bf, 0x00005365, 0x03000040
   kworker/u48:5-549     [003] .....   387.474271: amdgpu_device_wreg: 0x15bf, 0x00005359, 0x00000004
   kworker/u48:5-549     [003] .....   387.474273: amdgpu_device_wreg: 0x15bf, 0x00005364, 0x00780202
   kworker/u48:5-549     [003] .....   387.474276: amdgpu_device_wreg: 0x15bf, 0x0000536e, 0x00023100
   kworker/u48:5-549     [003] .....   387.474276: amdgpu_device_wreg: 0x15bf, 0x00005372, 0x8000a800
   kworker/u48:5-549     [003] .....   387.474277: amdgpu_device_wreg: 0x15bf, 0x00005372, 0x00000200
   kworker/u48:5-549     [003] .....   387.474277: amdgpu_device_wreg: 0x15bf, 0x00005372, 0x00000100
   kworker/u48:5-549     [003] .....   387.474280: amdgpu_device_wreg: 0x15bf, 0x00005358, 0x00000108
   kworker/u48:5-549     [003] .....   387.474281: amdgpu_device_wreg: 0x15bf, 0x00005365, 0x03000040
   kworker/u48:5-549     [003] .....   387.474283: amdgpu_device_wreg: 0x15bf, 0x00005358, 0x00000100
   kworker/u48:5-549     [003] .....   387.474284: amdgpu_device_wreg: 0x15bf, 0x00005358, 0x00000101
   kworker/u48:5-549     [003] .....   387.474601: amdgpu_device_wreg: 0x15bf, 0x00005358, 0x00000108
   kworker/u48:5-549     [003] .....   387.474603: amdgpu_device_wreg: 0x15bf, 0x00005364, 0x00780202
   kworker/u48:5-549     [003] .....   387.474605: amdgpu_device_wreg: 0x15bf, 0x00005359, 0x00200004
   kworker/u48:5-549     [003] .....   387.474607: amdgpu_device_wreg: 0x15bf, 0x0000539e, 0x00000001
   kworker/u48:5-549     [003] .....   387.474609: amdgpu_device_wreg: 0x15bf, 0x00005d94, 0xcf401010
   kworker/u48:5-549     [003] .....   387.474610: amdgpu_device_wreg: 0x15bf, 0x00005d95, 0x00000000
   kworker/u48:5-549     [003] .....   387.474612: amdgpu_device_wreg: 0x15bf, 0x00005d96, 0x00000000
   kworker/u48:5-549     [003] .....   387.474613: amdgpu_device_wreg: 0x15bf, 0x00005d94, 0xcf401010
   kworker/u48:5-549     [003] .....   387.474615: amdgpu_device_wreg: 0x15bf, 0x00005d95, 0x00000000
   kworker/u48:5-549     [003] .....   387.474616: amdgpu_device_wreg: 0x15bf, 0x00005d96, 0x00000000
   kworker/u48:5-549     [003] .....   387.474623: amdgpu_device_wreg: 0x15bf, 0x00005d94, 0xcf401010
   kworker/u48:5-549     [003] .....   387.474627: amdgpu_device_wreg: 0x15bf, 0x00005d94, 0xcf401010
   kworker/u48:5-549     [003] .....   387.474629: amdgpu_device_wreg: 0x15bf, 0x00005ddd, 0x0001f000
   kworker/u48:5-549     [003] .....   387.474631: amdgpu_device_wreg: 0x15bf, 0x00005dbf, 0x00155400
   kworker/u48:5-549     [003] .....   387.474632: amdgpu_device_wreg: 0x15bf, 0x00005358, 0x00000108
   kworker/u48:5-549     [003] .....   387.474634: amdgpu_device_wreg: 0x15bf, 0x0000539e, 0x00000000
   kworker/u48:5-549     [003] .....   387.474637: amdgpu_device_wreg: 0x15bf, 0x00005359, 0x00100000
   kworker/u48:5-549     [003] .....   387.474640: amdgpu_device_wreg: 0x15bf, 0x00005364, 0x00780202
