# tracer: function_graph
#
#     TIME        CPU  TASK/PID         DURATION                  FUNCTION CALLS
#      |          |     |    |           |   |                     |   |   |   |
19014.957836 |    5) kworker-13086  |   1.983 us    |          }
19014.957836 |    5) kworker-13086  |   2.275 us    |        }
19014.957836 |    5) kworker-13086  |               |        amdgpu_device_rreg [amdgpu]() {
19014.957836 |    5) kworker-13086  |   0.130 us    |          amdgpu_device_rreg.part.0 [amdgpu]();
19014.957837 |    5) kworker-13086  |   0.962 us    |        }
19014.957837 |    5) kworker-13086  |               |        __const_udelay() {
19014.957837 |    5) kworker-13086  |               |          delay_halt() {
19014.957837 |    5) kworker-13086  |   1.633 us    |            delay_halt_mwaitx();
19014.957839 |    5) kworker-13086  |   1.934 us    |          }
19014.957839 |    5) kworker-13086  |   2.224 us    |        }
19014.957839 |    5) kworker-13086  |               |        amdgpu_device_rreg [amdgpu]() {
19014.957839 |    5) kworker-13086  |   0.130 us    |          amdgpu_device_rreg.part.0 [amdgpu]();
19014.957840 |    5) kworker-13086  |   0.962 us    |        }
19014.957840 |    5) kworker-13086  |               |        __const_udelay() {
19014.957841 |    5) kworker-13086  |               |          delay_halt() {
19014.957841 |    5) kworker-13086  |   1.643 us    |            delay_halt_mwaitx();
19014.957842 |    5) kworker-13086  |   1.943 us    |          }
19014.957843 |    5) kworker-13086  |   2.235 us    |        }
19014.957843 |    5) kworker-13086  |               |        amdgpu_device_rreg [amdgpu]() {
19014.957843 |    5) kworker-13086  |   0.130 us    |          amdgpu_device_rreg.part.0 [amdgpu]();
19014.957844 |    5) kworker-13086  |   0.962 us    |        }
19014.957844 |    5) kworker-13086  |               |        __const_udelay() {
19014.957844 |    5) kworker-13086  |               |          delay_halt() {
19014.957844 |    5) kworker-13086  |   1.703 us    |            delay_halt_mwaitx();
19014.957846 |    5) kworker-13086  |   2.004 us    |          }
19014.957846 |    5) kworker-13086  |   2.284 us    |        }
