# tracer: nop
#
# entries-in-buffer/entries-written: 3226/3226   #P:12
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
   kworker/u48:6-554     [002] .....  2509.751073: amdgpu_device_wreg: 0x15bf, 0x00003ab3, 0x000f040b
   kworker/u48:6-554     [002] .....  2509.751075: amdgpu_device_wreg: 0x15bf, 0x00003adc, 0x00000040
   kworker/u48:6-554     [002] .....  2509.751076: amdgpu_device_wreg: 0x15bf, 0x00003ab4, 0x00f11110
   kworker/u48:6-554     [002] .....  2509.751078: amdgpu_device_wreg: 0x15bf, 0x00004185, 0x70000000
   kworker/u48:6-554     [002] .....  2509.751079: amdgpu_device_wreg: 0x15bf, 0x00003555, 0x00000001
   kworker/u48:6-554     [002] .....  2509.751080: amdgpu_device_wreg: 0x15bf, 0x000041b1, 0x000000a4
   kworker/u48:6-554     [002] .....  2509.751082: amdgpu_device_wreg: 0x15bf, 0x00003555, 0x00000000
   kworker/u48:6-554     [002] .....  2509.751089: amdgpu_device_wreg: 0x15bf, 0x0000397b, 0x00000000
   kworker/u48:6-554     [002] .....  2509.751091: amdgpu_device_wreg: 0x15bf, 0x00004f8c, 0x00000000
   kworker/u48:6-554     [002] .....  2509.751092: amdgpu_device_wreg: 0x15bf, 0x00004f8d, 0x00000000
   kworker/u48:6-554     [002] .....  2509.751093: amdgpu_device_wreg: 0x15bf, 0x00004f8e, 0x00000000
   kworker/u48:6-554     [002] .....  2509.751094: amdgpu_device_wreg: 0x15bf, 0x00004ff8, 0x00000001
   kworker/u48:6-554     [002] .....  2509.751096: amdgpu_device_wreg: 0x15bf, 0x00005001, 0x00010200
   kworker/u48:6-554     [002] .....  2509.751097: amdgpu_device_wreg: 0x15bf, 0x000039ed, 0x05f00001
   kworker/u48:6-554     [002] .....  2509.758021: amdgpu_device_wreg: 0x15bf, 0x00005045, 0x00000100
   kworker/u48:6-554     [002] .....  2509.758023: amdgpu_device_wreg: 0x15bf, 0x00004f8f, 0x00000004
   kworker/u48:6-554     [002] .....  2509.758023: amdgpu_device_wreg: 0x15bf, 0x00004f8b, 0xfff00000
   kworker/u48:6-554     [002] .....  2509.758024: amdgpu_device_wreg: 0x15bf, 0x00004fee, 0x00030000
   kworker/u48:6-554     [002] .....  2509.758025: amdgpu_device_wreg: 0x15bf, 0x00004f90, 0x00000000
   kworker/u48:6-554     [002] .....  2509.758027: amdgpu_device_wreg: 0x15bf, 0x00004ff3, 0x00000000
   kworker/u48:6-554     [002] .....  2509.758027: amdgpu_device_wreg: 0x15bf, 0x00004ff1, 0x00000000
   kworker/u48:6-554     [002] .....  2509.758028: amdgpu_device_wreg: 0x15bf, 0x00004ff0, 0x00000000
   kworker/u48:6-554     [002] .....  2509.758030: amdgpu_device_wreg: 0x15bf, 0x0000565e, 0x00000005
   kworker/u48:6-554     [002] .....  2509.758033: amdgpu_device_wreg: 0x15bf, 0x00005647, 0x00000010
   kworker/u48:6-554     [002] .....  2509.758035: amdgpu_device_wreg: 0x15bf, 0x00005642, 0x04000800
   kworker/u48:6-554     [002] .....  2509.758036: amdgpu_device_wreg: 0x15bf, 0x00005647, 0x00000110
   kworker/u48:6-554     [002] .....  2509.758039: amdgpu_device_wreg: 0x15bf, 0x00005670, 0x00000100
   kworker/u48:6-554     [002] .....  2509.758040: amdgpu_device_wreg: 0x15bf, 0x0001629b, 0x00000000
   kworker/u48:6-554     [002] .....  2509.758040: amdgpu_device_wreg: 0x15bf, 0x00016293, 0x00000000
   kworker/u48:6-554     [002] .....  2509.758041: amdgpu_device_wreg: 0x15bf, 0x00016283, 0x0000000d
   kworker/u48:6-554     [002] .....  2509.758358: amdgpu_device_wreg: 0x15bf, 0x00016083, 0x00000260
   kworker/u48:6-554     [002] .....  2509.759286: amdgpu_device_wreg: 0x15bf, 0x00005d94, 0xcf401010
   kworker/u48:6-554     [002] .....  2509.759290: amdgpu_device_wreg: 0x15bf, 0x00005d94, 0xcf401010
   kworker/u48:6-554     [002] .....  2509.759293: amdgpu_device_wreg: 0x15bf, 0x00005ddd, 0x0001f000
   kworker/u48:6-554     [002] .....  2509.759294: amdgpu_device_wreg: 0x15bf, 0x00005dbf, 0x00155400
   kworker/u48:6-554     [002] .....  2509.759295: amdgpu_device_wreg: 0x15bf, 0x00005358, 0x00100108
   kworker/u48:6-554     [002] .....  2509.759297: amdgpu_device_wreg: 0x15bf, 0x0000539e, 0x00000000
   kworker/u48:6-554     [002] .....  2509.759299: amdgpu_device_wreg: 0x15bf, 0x00005359, 0x00100000
   kworker/u48:6-554     [002] .....  2509.759302: amdgpu_device_wreg: 0x15bf, 0x00005364, 0x00780202
   kworker/u48:6-554     [002] .....  2509.759303: amdgpu_device_wreg: 0x15bf, 0x00005358, 0x00000108
   kworker/u48:6-554     [002] .....  2509.759305: amdgpu_device_wreg: 0x15bf, 0x00005365, 0x03000040
   kworker/u48:6-554     [002] .....  2509.759306: amdgpu_device_wreg: 0x15bf, 0x00005359, 0x00000004
   kworker/u48:6-554     [002] .....  2509.759308: amdgpu_device_wreg: 0x15bf, 0x00005364, 0x00780202
   kworker/u48:6-554     [002] .....  2509.759310: amdgpu_device_wreg: 0x15bf, 0x0000536e, 0x00011100
   kworker/u48:6-554     [002] .....  2509.759310: amdgpu_device_wreg: 0x15bf, 0x00005372, 0x8000a800
   kworker/u48:6-554     [002] .....  2509.759311: amdgpu_device_wreg: 0x15bf, 0x00005372, 0x00000100
   kworker/u48:6-554     [002] .....  2509.759313: amdgpu_device_wreg: 0x15bf, 0x0000536f, 0x00013101
   kworker/u48:6-554     [002] .....  2509.759314: amdgpu_device_wreg: 0x15bf, 0x00005372, 0x0000a900
   kworker/u48:6-554     [002] .....  2509.759316: amdgpu_device_wreg: 0x15bf, 0x00005358, 0x00000108
   kworker/u48:6-554     [002] .....  2509.759317: amdgpu_device_wreg: 0x15bf, 0x00005365, 0x03000040
   kworker/u48:6-554     [002] .....  2509.759318: amdgpu_device_wreg: 0x15bf, 0x00005358, 0x00100100
   kworker/u48:6-554     [002] .....  2509.759320: amdgpu_device_wreg: 0x15bf, 0x00005358, 0x00100101
   kworker/u48:6-554     [002] .....  2509.759758: amdgpu_device_wreg: 0x15bf, 0x00005372, 0x80030001
   kworker/u48:6-554     [002] .....  2509.759761: amdgpu_device_wreg: 0x15bf, 0x00005358, 0x00100108
   kworker/u48:6-554     [002] .....  2509.759763: amdgpu_device_wreg: 0x15bf, 0x00005364, 0x00780202
   kworker/u48:6-554     [002] .....  2509.759765: amdgpu_device_wreg: 0x15bf, 0x00005359, 0x00200004
   kworker/u48:6-554     [002] .....  2509.759767: amdgpu_device_wreg: 0x15bf, 0x0000539e, 0x00000001
