# tracer: nop
#
# entries-in-buffer/entries-written: 716/716   #P:12
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
   kworker/u48:1-10321   [006] d..1. 13583.764559: amdgpu_device_wreg: 0x15bf, 0x000053f5, 0x00000100
   kworker/u48:1-10321   [006] ..... 13583.766496: amdgpu_device_wreg: 0x15bf, 0x0000127c, 0x00002441
   kworker/u48:1-10321   [006] ..... 13583.766498: amdgpu_device_wreg: 0x15bf, 0x000012e0, 0x00841816
   kworker/u48:1-10321   [006] ..... 13583.766499: amdgpu_device_wreg: 0x15bf, 0x000012ea, 0x00000100
   kworker/u48:1-10321   [006] ..... 13583.766500: amdgpu_device_wreg: 0x15bf, 0x0000f89a, 0x08084001
   kworker/u48:1-10321   [006] d..1. 13583.766502: amdgpu_device_wreg: 0x15bf, 0x0000306a, 0x85400000
   kworker/u48:1-10321   [006] d..1. 13583.766503: amdgpu_device_wreg: 0x15bf, 0x00003085, 0x05000000
   kworker/u48:1-10321   [006] d..1. 13583.766505: amdgpu_device_wreg: 0x15bf, 0x00003086, 0x05000000
   kworker/u48:1-10321   [006] d..1. 13583.766506: amdgpu_device_wreg: 0x15bf, 0x00003087, 0x05000000
   kworker/u48:1-10321   [006] d..1. 13583.766507: amdgpu_device_wreg: 0x15bf, 0x00003088, 0x05000000
   kworker/u48:1-10321   [006] d..1. 13583.766508: amdgpu_device_wreg: 0x15bf, 0x0000306a, 0x85000000
   kworker/u48:1-10321   [006] d..1. 13583.766510: amdgpu_device_wreg: 0x15bf, 0x0000306a, 0x84000000
   kworker/u48:1-10321   [006] d..1. 13583.766511: amdgpu_device_wreg: 0x15bf, 0x00003085, 0x04000000
   kworker/u48:1-10321   [006] d..1. 13583.766512: amdgpu_device_wreg: 0x15bf, 0x00003086, 0x04000000
   kworker/u48:1-10321   [006] d..1. 13583.766513: amdgpu_device_wreg: 0x15bf, 0x00003087, 0x04000000
   kworker/u48:1-10321   [006] d..1. 13583.766514: amdgpu_device_wreg: 0x15bf, 0x00003088, 0x04000000
